org,repo,number,date,is_merged,state,user
jupyter,jupyter_client,145,2016-03-23 16:46:03,True,closed,takluyver
jupyter,jupyter_client,146,2016-03-24 11:32:21,True,closed,minrk
jupyter,jupyter_client,150,2016-03-29 22:18:49,True,closed,Carreau
jupyter,jupyter_client,151,2016-03-29 22:21:09,True,closed,Carreau
jupyter,jupyter_client,156,2016-04-21 12:58:01,True,closed,minrk
jupyter,jupyter_client,157,2016-04-25 20:46:35,True,closed,remram44
jupyter,jupyter_client,160,2016-05-11 09:11:03,True,closed,takluyver
jupyter,jupyter_client,161,2016-05-15 14:35:26,False,closed,poke1024
jupyter,jupyter_client,162,2016-05-31 11:45:13,True,closed,minrk
jupyter,jupyter_client,164,2016-06-29 10:09:03,True,closed,minrk
jupyter,jupyter_client,165,2016-07-04 11:41:40,True,closed,takluyver
jupyter,jupyter_client,167,2016-07-05 09:54:13,True,closed,takluyver
jupyter,jupyter_client,168,2016-07-06 04:52:28,True,closed,willingc
jupyter,jupyter_client,169,2016-07-13 03:25:09,True,closed,minrk
jupyter,jupyter_client,172,2016-07-22 09:37:19,True,closed,minrk
jupyter,jupyter_client,175,2016-07-27 20:41:24,False,closed,danielballan
jupyter,jupyter_client,177,2016-07-28 14:30:29,True,closed,takluyver
jupyter,jupyter_client,180,2016-08-01 09:01:35,True,closed,minrk
jupyter,jupyter_client,184,2016-08-09 12:16:08,True,closed,dsblank
jupyter,jupyter_client,185,2016-08-11 09:35:16,True,closed,minrk
jupyter,jupyter_client,189,2016-08-24 17:45:44,True,closed,blink1073
jupyter,jupyter_client,190,2016-08-26 07:56:12,True,closed,minrk
jupyter,jupyter_client,191,2016-08-26 10:42:02,True,closed,minrk
jupyter,jupyter_client,193,2016-08-30 17:16:32,True,closed,willingc
jupyter,jupyter_client,195,2016-08-31 01:43:35,True,closed,willingc
jupyter,jupyter_client,196,2016-08-31 08:38:21,True,closed,minrk
jupyter,jupyter_client,200,2016-09-13 11:29:11,True,closed,minrk
jupyter,jupyter_client,201,2016-09-13 12:06:35,True,closed,minrk
jupyter,jupyter_client,203,2016-09-21 10:18:59,True,closed,ccordoba12
jupyter,jupyter_client,206,2016-09-26 10:03:06,True,closed,minrk
jupyter,jupyter_client,210,2016-10-07 13:35:27,True,closed,minrk
jupyter,jupyter_client,211,2016-10-09 20:47:33,True,closed,adamchainz
jupyter,jupyter_client,212,2016-10-10 08:45:43,True,closed,minrk
jupyter,jupyter_client,215,2016-10-16 23:51:55,True,closed,aleury
jupyter,jupyter_client,216,2016-10-17 16:29:34,True,closed,Carreau
jupyter,jupyter_client,217,2016-10-24 09:43:07,True,closed,minrk
