org,repo,number,date,state,user
jupyter,jupyter_client,7,2015-04-23 07:45:10,open,janschulz
jupyter,jupyter_client,8,2015-04-29 21:43:25,closed,takluyver
jupyter,jupyter_client,9,2015-04-30 00:30:45,closed,minrk
jupyter,jupyter_client,10,2015-04-30 20:44:01,closed,minrk
jupyter,jupyter_client,11,2015-05-01 13:10:52,open,janschulz
jupyter,jupyter_client,12,2015-05-01 22:47:30,closed,Carreau
jupyter,jupyter_client,13,2015-05-01 23:06:02,closed,Carreau
jupyter,jupyter_client,14,2015-05-08 19:25:33,closed,minrk
jupyter,jupyter_client,15,2015-05-11 00:02:24,closed,Carreau
jupyter,jupyter_client,16,2015-05-11 22:58:51,closed,takluyver
jupyter,jupyter_client,17,2015-05-13 19:09:20,closed,minrk
jupyter,jupyter_client,18,2015-05-14 01:33:57,closed,rgbkrk
jupyter,jupyter_client,19,2015-05-17 02:14:43,closed,willwhitney
jupyter,jupyter_client,20,2015-05-20 19:00:11,closed,minrk
jupyter,jupyter_client,21,2015-05-21 23:17:37,closed,minrk
jupyter,jupyter_client,22,2015-05-27 01:16:27,closed,takluyver
jupyter,jupyter_client,23,2015-05-28 19:07:47,closed,takluyver
